# 241010_15:50:50.210780
t	CH1	CH2
0.000000e+00	-1.470187e-02	1.509515e+00
1.000000e-08	-1.641058e-02	1.495737e+00
2.000000e-08	-1.291355e-02	1.475835e+00
3.000000e-08	-1.083084e-02	1.462945e+00
4.000000e-08	-9.914438e-03	1.441095e+00
5.000000e-08	-1.203392e-02	1.420194e+00
6.000000e-08	-1.118241e-02	1.405253e+00
7.000000e-08	-9.007891e-03	1.378145e+00
8.000000e-08	-8.088927e-03	1.357985e+00
9.000000e-08	-9.626759e-03	1.335992e+00
1.000000e-07	-1.087838e-02	1.315832e+00
1.100000e-07	-8.695282e-03	1.297874e+00
1.200000e-07	-7.644338e-03	1.269677e+00
1.300000e-07	-6.756700e-03	1.252617e+00
1.400000e-07	-8.581278e-03	1.225406e+00
1.500000e-07	-8.441633e-03	1.203253e+00
1.600000e-07	-7.613195e-03	1.178100e+00
1.700000e-07	-6.780703e-03	1.146784e+00
1.800000e-07	-7.240968e-03	1.121260e+00
1.900000e-07	-7.914331e-03	1.097845e+00
2.000000e-07	-6.402116e-03	1.073929e+00
2.100000e-07	-5.933989e-03	1.050465e+00
2.200000e-07	-5.819118e-03	1.019947e+00
2.300000e-07	-6.897420e-03	9.886740e-01
2.400000e-07	-7.217540e-03	9.611027e-01
2.500000e-07	-5.729796e-03	9.337816e-01
2.600000e-07	-5.378856e-03	9.043210e-01
2.700000e-07	-5.979218e-03	8.812822e-01
2.800000e-07	-7.065912e-03	8.476815e-01
2.900000e-07	-6.528258e-03	8.251527e-01
3.000000e-07	-5.322112e-03	7.947241e-01
3.100000e-07	-5.077635e-03	7.612977e-01
3.200000e-07	-5.896838e-03	7.263190e-01
3.300000e-07	-5.610312e-03	6.970524e-01
3.400000e-07	-4.865466e-03	6.706187e-01
3.500000e-07	-4.608779e-03	6.371397e-01
3.600000e-07	-5.248632e-03	6.075760e-01
3.700000e-07	-5.788935e-03	5.778851e-01
3.800000e-07	-5.302945e-03	5.463107e-01
3.900000e-07	-4.905869e-03	5.095365e-01
4.000000e-07	-4.279805e-03	4.786822e-01
4.100000e-07	-4.662292e-03	4.462055e-01
4.200000e-07	-4.384133e-03	4.065688e-01
4.300000e-07	-3.943553e-03	3.758432e-01
4.400000e-07	-4.118468e-03	3.484588e-01
4.500000e-07	-4.688079e-03	3.107972e-01
4.600000e-07	-6.013172e-03	2.830609e-01
4.700000e-07	-5.039169e-03	2.485591e-01
4.800000e-07	-4.057814e-03	2.127370e-01
4.900000e-07	-3.928237e-03	1.860734e-01
5.000000e-07	-4.461374e-03	1.504745e-01
5.100000e-07	-4.458838e-03	1.116977e-01
5.200000e-07	-3.453564e-03	7.503994e-02
5.300000e-07	-3.395897e-03	4.226374e-02
5.400000e-07	-3.735017e-03	9.639773e-03
5.500000e-07	-2.563611e-03	-2.104690e-02
5.600000e-07	3.411609e-03	-5.131533e-02
5.700000e-07	1.226645e-02	-8.395224e-02
5.800000e-07	-6.237979e-03	-1.134812e-01
5.900000e-07	7.042588e-03	-1.482683e-01
6.000000e-07	-3.538672e-03	-1.756861e-01
6.100000e-07	-3.508639e-04	-2.083023e-01
6.200000e-07	-4.442314e-03	-2.354385e-01
6.300000e-07	2.209044e-02	-2.600446e-01
6.400000e-07	9.189199e-02	-2.933307e-01
6.500000e-07	4.116919e-02	-3.429993e-01
6.600000e-07	-9.761794e-02	-3.901994e-01
6.700000e-07	2.466472e-02	-4.167891e-01
6.800000e-07	-6.183461e-02	-4.410017e-01
6.900000e-07	-6.092191e-02	-4.684133e-01
7.000000e-07	-1.161729e-01	-4.936306e-01
7.100000e-07	1.817977e-01	-5.020845e-01
7.200000e-07	-1.225287e-02	-5.609540e-01
7.300000e-07	-5.102808e-02	-5.740400e-01
7.400000e-07	1.766175e-01	-6.103047e-01
7.500000e-07	-1.969907e-01	-6.673205e-01
7.600000e-07	1.327076e-01	-6.703733e-01
7.700000e-07	-8.481504e-02	-7.303574e-01
7.800000e-07	-8.402138e-03	-7.400477e-01
7.900000e-07	1.247684e-01	-7.725124e-01
8.000000e-07	-1.374356e-01	-8.188995e-01
8.100000e-07	1.847993e-01	-8.261547e-01
8.200000e-07	-1.268285e-01	-8.831049e-01
8.300000e-07	5.003318e-02	-8.936364e-01
8.400000e-07	-1.755762e-02	-9.305779e-01
8.500000e-07	-5.712102e-02	-9.589998e-01
8.600000e-07	1.359907e-01	-9.785708e-01
8.700000e-07	-1.317912e-01	-1.021839e+00
8.800000e-07	1.590236e-01	-1.025365e+00
8.900000e-07	-9.507177e-02	-1.079736e+00
9.000000e-07	3.727210e-02	-1.087463e+00
9.100000e-07	-3.278405e-02	-1.124839e+00
9.200000e-07	-1.966103e-02	-1.146559e+00
9.300000e-07	6.013538e-02	-1.166203e+00
9.400000e-07	-4.325536e-02	-1.204308e+00
9.500000e-07	8.760724e-02	-1.217983e+00
9.600000e-07	-6.514794e-02	-1.253731e+00
9.700000e-07	4.769837e-02	-1.265390e+00
9.800000e-07	-4.730023e-02	-1.298837e+00
9.900000e-07	2.129513e-02	-1.313786e+00
1.000000e-06	-1.172257e-02	-1.336881e+00
1.010000e-06	1.741517e-02	-1.359934e+00
1.020000e-06	2.108379e-02	-1.373688e+00
1.030000e-06	3.178133e-03	-1.407110e+00
1.040000e-06	1.184517e-02	-1.417189e+00
1.050000e-06	-1.883103e-02	-1.452503e+00
1.060000e-06	1.137795e-02	-1.457892e+00
1.070000e-06	-7.936746e-03	-1.480999e+00
1.080000e-06	1.772299e-02	-1.495834e+00
1.090000e-06	2.358469e-03	-1.517786e+00
1.100000e-06	1.503720e-02	-1.533574e+00
1.110000e-06	1.977963e-04	-1.547418e+00
1.120000e-06	9.378409e-03	-1.566213e+00
1.130000e-06	-2.489176e-03	-1.577880e+00
1.140000e-06	6.924875e-03	-1.597834e+00
1.150000e-06	6.050506e-03	-1.605408e+00
1.160000e-06	1.371243e-02	-1.617994e+00
1.170000e-06	5.729039e-03	-1.631623e+00
1.180000e-06	7.381396e-03	-1.644257e+00
1.190000e-06	5.001427e-03	-1.658041e+00
1.200000e-06	8.630700e-03	-1.666412e+00
1.210000e-06	7.919950e-03	-1.672929e+00
1.220000e-06	9.051873e-03	-1.683500e+00
1.230000e-06	1.184716e-02	-1.695731e+00
1.240000e-06	1.334361e-02	-1.701255e+00
1.250000e-06	1.360490e-02	-1.708563e+00
1.260000e-06	8.992318e-03	-1.718884e+00
1.270000e-06	9.067615e-03	-1.718245e+00
1.280000e-06	1.071418e-02	-1.727262e+00
1.290000e-06	1.819849e-02	-1.729723e+00
1.300000e-06	1.725564e-02	-1.734921e+00
1.310000e-06	1.925333e-02	-1.734792e+00
1.320000e-06	1.775376e-02	-1.743092e+00
1.330000e-06	2.009575e-02	-1.744100e+00
1.340000e-06	2.075713e-02	-1.743258e+00
1.350000e-06	2.167979e-02	-1.745460e+00
1.360000e-06	2.587802e-02	-1.741308e+00
1.370000e-06	2.769982e-02	-1.742995e+00
1.380000e-06	3.278747e-02	-1.740308e+00
1.390000e-06	3.130434e-02	-1.742150e+00
1.400000e-06	3.406892e-02	-1.737097e+00
1.410000e-06	3.452020e-02	-1.737884e+00
1.420000e-06	3.571036e-02	-1.731679e+00
1.430000e-06	3.685749e-02	-1.728563e+00
1.440000e-06	3.621170e-02	-1.724197e+00
1.450000e-06	3.663539e-02	-1.719034e+00
1.460000e-06	3.624798e-02	-1.711771e+00
1.470000e-06	3.613559e-02	-1.706360e+00
1.480000e-06	3.507297e-02	-1.699205e+00
1.490000e-06	3.316207e-02	-1.690876e+00
1.500000e-06	3.283704e-02	-1.682152e+00
1.510000e-06	3.287820e-02	-1.673719e+00
1.520000e-06	3.181658e-02	-1.664200e+00
1.530000e-06	2.843701e-02	-1.651678e+00
1.540000e-06	2.598084e-02	-1.640097e+00
1.550000e-06	2.211092e-02	-1.627565e+00
1.560000e-06	1.949054e-02	-1.615920e+00
1.570000e-06	1.694331e-02	-1.597302e+00
1.580000e-06	1.413410e-02	-1.588720e+00
1.590000e-06	1.213146e-02	-1.571874e+00
1.600000e-06	1.050704e-02	-1.558934e+00
1.610000e-06	9.789136e-03	-1.543043e+00
1.620000e-06	6.847681e-03	-1.522418e+00
1.630000e-06	5.868153e-03	-1.507466e+00
1.640000e-06	5.026882e-03	-1.487021e+00
1.650000e-06	5.854593e-03	-1.475934e+00
1.660000e-06	4.327274e-03	-1.456090e+00
1.670000e-06	3.479432e-03	-1.433879e+00
1.680000e-06	2.953372e-03	-1.415089e+00
1.690000e-06	3.056386e-03	-1.396582e+00
1.700000e-06	2.625292e-03	-1.369727e+00
1.710000e-06	1.771761e-03	-1.350684e+00
1.720000e-06	1.912736e-03	-1.334769e+00
1.730000e-06	2.367750e-03	-1.308619e+00
1.740000e-06	2.184418e-03	-1.286571e+00
1.750000e-06	6.658388e-04	-1.264415e+00
1.760000e-06	-6.120707e-04	-1.241208e+00
1.770000e-06	-6.008768e-04	-1.219002e+00
1.780000e-06	-4.331373e-04	-1.195987e+00
1.790000e-06	3.877164e-04	-1.171624e+00
1.800000e-06	-6.523222e-04	-1.131040e+00
1.810000e-06	-7.930667e-04	-1.108431e+00
1.820000e-06	5.439579e-04	-1.083311e+00
1.830000e-06	-1.053972e-03	-1.058195e+00
1.840000e-06	-1.610502e-03	-1.028744e+00
1.850000e-06	-2.434394e-03	-1.002366e+00
1.860000e-06	-1.129256e-03	-9.769494e-01
1.870000e-06	-2.165473e-03	-9.497743e-01
1.880000e-06	-2.275246e-03	-9.264558e-01
1.890000e-06	-3.360304e-03	-8.968894e-01
1.900000e-06	-2.872649e-03	-8.614737e-01
1.910000e-06	-2.842653e-03	-8.390850e-01
1.920000e-06	-2.278707e-03	-8.097864e-01
1.930000e-06	-3.488685e-03	-7.788400e-01
1.940000e-06	-2.703444e-03	-7.412131e-01
1.950000e-06	-2.237900e-03	-7.116874e-01
1.960000e-06	-2.554667e-03	-6.841130e-01
1.970000e-06	-3.432145e-03	-6.528421e-01
1.980000e-06	-4.533504e-03	-6.224053e-01
1.990000e-06	-4.893509e-03	-5.917344e-01
2.000000e-06	-5.539566e-03	-5.600527e-01
2.010000e-06	-4.169907e-03	-5.243583e-01
2.020000e-06	-4.858935e-03	-4.956316e-01
2.030000e-06	-2.791631e-03	-4.509450e-01
2.040000e-06	-2.883877e-03	-4.283240e-01
2.050000e-06	-3.895360e-03	-3.979401e-01
2.060000e-06	-4.827196e-03	-3.601960e-01
2.070000e-06	-5.805682e-03	-3.348419e-01
2.080000e-06	-5.533792e-03	-2.950997e-01
2.090000e-06	-6.016666e-03	-2.643109e-01
2.100000e-06	-4.184974e-03	-2.328842e-01
2.110000e-06	-5.346551e-03	-2.000523e-01
2.120000e-06	-4.155381e-03	-1.685186e-01
2.130000e-06	-5.702561e-03	-1.338419e-01
2.140000e-06	-6.643825e-03	-9.594680e-02
2.150000e-06	-3.322570e-03	-6.126836e-02
