# Temperatura_=_-19.479583333333334
# Concentracion g/m^3_=_9950.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_308265.31595506513
# Promedio de 312 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.889597e-10	-4.320380e-09	-5.677693e+01	-5.061435e+02
1.000000e-08	-8.884535e-10	-4.326206e-09	-5.674461e+01	-5.060576e+02
2.000000e-08	-8.876477e-10	-4.330229e-09	-5.669314e+01	-5.059188e+02
3.000000e-08	-8.865281e-10	-4.327924e-09	-5.662164e+01	-5.057225e+02
4.000000e-08	-8.850869e-10	-4.326928e-09	-5.652959e+01	-5.054696e+02
5.000000e-08	-8.833264e-10	-4.325038e-09	-5.641715e+01	-5.051664e+02
6.000000e-08	-8.812717e-10	-4.319900e-09	-5.628592e+01	-5.048256e+02
7.000000e-08	-8.789492e-10	-4.315522e-09	-5.613759e+01	-5.044648e+02
8.000000e-08	-8.763245e-10	-4.311889e-09	-5.596996e+01	-5.041052e+02
9.000000e-08	-8.733263e-10	-4.328528e-09	-5.577847e+01	-5.037692e+02
1.000000e-07	-8.699226e-10	-4.384980e-09	-5.556108e+01	-5.034779e+02
1.100000e-07	-8.661820e-10	-4.365444e-09	-5.532218e+01	-5.032485e+02
1.200000e-07	-8.621790e-10	-4.318735e-09	-5.506651e+01	-5.030920e+02
1.300000e-07	-8.579116e-10	-4.321518e-09	-5.479396e+01	-5.030110e+02
1.400000e-07	-8.533540e-10	-4.308773e-09	-5.450287e+01	-5.029992e+02
1.500000e-07	-8.485104e-10	-4.272850e-09	-5.419352e+01	-5.030412e+02
1.600000e-07	-8.433678e-10	-4.229289e-09	-5.386507e+01	-5.031135e+02
1.700000e-07	-8.378633e-10	-4.274621e-09	-5.351351e+01	-5.031868e+02
1.800000e-07	-8.320051e-10	-4.344594e-09	-5.313936e+01	-5.032280e+02
1.900000e-07	-8.258646e-10	-4.279021e-09	-5.274717e+01	-5.032038e+02
2.000000e-07	-8.194319e-10	-4.307957e-09	-5.233632e+01	-5.030835e+02
2.100000e-07	-8.127230e-10	-4.308776e-09	-5.190784e+01	-5.028418e+02
2.200000e-07	-8.057055e-10	-4.249101e-09	-5.145963e+01	-5.024611e+02
2.300000e-07	-7.983252e-10	-4.275317e-09	-5.098827e+01	-5.019329e+02
2.400000e-07	-7.906063e-10	-4.246175e-09	-5.049527e+01	-5.012579e+02
2.500000e-07	-7.825522e-10	-4.270094e-09	-4.998087e+01	-5.004454e+02
2.600000e-07	-7.742043e-10	-4.266973e-09	-4.944770e+01	-4.995114e+02
2.700000e-07	-7.655723e-10	-4.274049e-09	-4.889638e+01	-4.984770e+02
2.800000e-07	-7.566771e-10	-4.255774e-09	-4.832827e+01	-4.973649e+02
2.900000e-07	-7.475225e-10	-4.213506e-09	-4.774357e+01	-4.961971e+02
3.000000e-07	-7.380851e-10	-4.221139e-09	-4.714082e+01	-4.949922e+02
3.100000e-07	-7.283496e-10	-4.199783e-09	-4.651902e+01	-4.937635e+02
3.200000e-07	-7.183076e-10	-4.214754e-09	-4.587765e+01	-4.925175e+02
3.300000e-07	-7.080061e-10	-4.203669e-09	-4.521971e+01	-4.912541e+02
3.400000e-07	-6.974452e-10	-4.198281e-09	-4.454519e+01	-4.899664e+02
3.500000e-07	-6.866226e-10	-4.192766e-09	-4.385397e+01	-4.886425e+02
3.600000e-07	-6.755355e-10	-4.159306e-09	-4.314585e+01	-4.872669e+02
3.700000e-07	-6.641783e-10	-4.138046e-09	-4.242048e+01	-4.858225e+02
3.800000e-07	-6.525558e-10	-4.116934e-09	-4.167817e+01	-4.842928e+02
3.900000e-07	-6.406656e-10	-4.121714e-09	-4.091875e+01	-4.826634e+02
4.000000e-07	-6.285232e-10	-4.115355e-09	-4.014324e+01	-4.809235e+02
4.100000e-07	-6.161421e-10	-4.108497e-09	-3.935247e+01	-4.790659e+02
4.200000e-07	-6.035477e-10	-4.090266e-09	-3.854808e+01	-4.770877e+02
4.300000e-07	-5.907396e-10	-4.064397e-09	-3.773004e+01	-4.749888e+02
4.400000e-07	-5.777066e-10	-4.042288e-09	-3.689764e+01	-4.727712e+02
4.500000e-07	-5.644415e-10	-4.014760e-09	-3.605041e+01	-4.704375e+02
4.600000e-07	-5.509542e-10	-3.994330e-09	-3.518899e+01	-4.679892e+02
4.700000e-07	-5.372568e-10	-3.979189e-09	-3.431416e+01	-4.654256e+02
4.800000e-07	-5.233486e-10	-3.968885e-09	-3.342586e+01	-4.627429e+02
4.900000e-07	-5.092206e-10	-3.947563e-09	-3.252353e+01	-4.599337e+02
5.000000e-07	-4.948743e-10	-3.917164e-09	-3.160724e+01	-4.569873e+02
5.100000e-07	-4.803390e-10	-3.883060e-09	-3.067889e+01	-4.538903e+02
5.200000e-07	-4.656268e-10	-3.850296e-09	-2.973924e+01	-4.506275e+02
5.300000e-07	-4.507446e-10	-3.822522e-09	-2.878873e+01	-4.471834e+02
5.400000e-07	-4.356927e-10	-3.794599e-09	-2.782738e+01	-4.435432e+02
5.500000e-07	-4.204761e-10	-3.765658e-09	-2.685552e+01	-4.396940e+02
5.600000e-07	-4.050978e-10	-3.735298e-09	-2.587332e+01	-4.356253e+02
5.700000e-07	-3.895610e-10	-3.699227e-09	-2.488100e+01	-4.313291e+02
5.800000e-07	-3.738704e-10	-3.656794e-09	-2.387886e+01	-4.267998e+02
5.900000e-07	-3.580375e-10	-3.609167e-09	-2.286763e+01	-4.220327e+02
6.000000e-07	-3.420738e-10	-3.562512e-09	-2.184805e+01	-4.170234e+02
6.100000e-07	-3.259771e-10	-3.520615e-09	-2.081997e+01	-4.117656e+02
6.200000e-07	-3.097533e-10	-3.479407e-09	-1.978377e+01	-4.062503e+02
6.300000e-07	-2.934161e-10	-3.433211e-09	-1.874033e+01	-4.004639e+02
6.400000e-07	-2.769790e-10	-3.379613e-09	-1.769051e+01	-3.943874e+02
6.500000e-07	-2.604411e-10	-3.323962e-09	-1.663426e+01	-3.879963e+02
