# 241010_16:19:05.625382
t	CH1	CH2
0.000000e+00	-1.009480e-02	1.512505e+00
1.000000e-08	-9.474790e-03	1.498666e+00
2.000000e-08	-1.000600e-02	1.484672e+00
3.000000e-08	-6.403772e-03	1.461024e+00
4.000000e-08	-6.266234e-03	1.443082e+00
5.000000e-08	-6.802829e-03	1.430877e+00
6.000000e-08	-7.373199e-03	1.405939e+00
7.000000e-08	-5.855914e-03	1.382927e+00
8.000000e-08	-4.207282e-03	1.361872e+00
9.000000e-08	-5.780291e-03	1.339819e+00
1.000000e-07	-6.844412e-03	1.315829e+00
1.100000e-07	-6.491541e-03	1.298568e+00
1.200000e-07	-4.686362e-03	1.280606e+00
1.300000e-07	-3.885431e-03	1.258308e+00
1.400000e-07	-5.475932e-03	1.229395e+00
1.500000e-07	-5.669947e-03	1.211045e+00
1.600000e-07	-5.409030e-03	1.179937e+00
1.700000e-07	-3.491002e-03	1.155606e+00
1.800000e-07	-4.826575e-03	1.127992e+00
1.900000e-07	-5.358036e-03	1.102722e+00
2.000000e-07	-4.922081e-03	1.071506e+00
2.100000e-07	-3.904680e-03	1.055142e+00
2.200000e-07	-3.803460e-03	1.024925e+00
2.300000e-07	-5.162735e-03	9.955061e-01
2.400000e-07	-5.263226e-03	9.688819e-01
2.500000e-07	-4.121536e-03	9.386589e-01
2.600000e-07	-3.198258e-03	9.135027e-01
2.700000e-07	-3.299282e-03	8.809165e-01
2.800000e-07	-4.936388e-03	8.565932e-01
2.900000e-07	-4.816530e-03	8.271827e-01
3.000000e-07	-4.225748e-03	7.984532e-01
3.100000e-07	-3.520572e-03	7.649247e-01
3.200000e-07	-4.771833e-03	7.331380e-01
3.300000e-07	-4.844867e-03	7.050642e-01
3.400000e-07	-4.733002e-03	6.725464e-01
3.500000e-07	-3.376034e-03	6.438617e-01
3.600000e-07	-3.821784e-03	6.124407e-01
3.700000e-07	-4.746382e-03	5.827594e-01
3.800000e-07	-5.151072e-03	5.511378e-01
3.900000e-07	-4.319502e-03	5.146508e-01
4.000000e-07	-3.710232e-03	4.799888e-01
4.100000e-07	-3.824769e-03	4.493301e-01
4.200000e-07	-4.633300e-03	4.185431e-01
4.300000e-07	-4.106912e-03	3.791537e-01
4.400000e-07	-3.100456e-03	3.483254e-01
4.500000e-07	-3.912295e-03	3.186438e-01
4.600000e-07	-4.732402e-03	2.871671e-01
4.700000e-07	-4.625586e-03	2.553707e-01
4.800000e-07	-3.403430e-03	2.178537e-01
4.900000e-07	-3.384918e-03	1.903277e-01
5.000000e-07	-3.899513e-03	1.544758e-01
5.100000e-07	-4.729799e-03	1.167464e-01
5.200000e-07	-4.204970e-03	8.294682e-02
5.300000e-07	-2.879156e-03	4.641787e-02
5.400000e-07	-3.287694e-03	1.182607e-02
5.500000e-07	-3.620493e-03	-1.695052e-02
5.600000e-07	-7.927048e-04	-4.431632e-02
5.700000e-07	1.606475e-02	-7.874067e-02
5.800000e-07	-8.677141e-03	-1.093820e-01
5.900000e-07	9.631880e-03	-1.481664e-01
6.000000e-07	-5.739643e-03	-1.707947e-01
6.100000e-07	2.608107e-03	-2.020682e-01
6.200000e-07	-1.031435e-02	-2.275818e-01
6.300000e-07	1.973398e-02	-2.569079e-01
6.400000e-07	5.459838e-02	-2.781162e-01
6.500000e-07	1.231928e-01	-3.316404e-01
6.600000e-07	-1.474089e-01	-3.792733e-01
6.700000e-07	4.900124e-02	-4.117493e-01
6.800000e-07	-7.167050e-02	-4.379050e-01
6.900000e-07	-3.199159e-02	-4.652764e-01
7.000000e-07	-1.466001e-01	-4.876464e-01
7.100000e-07	1.142649e-01	-4.967599e-01
7.200000e-07	1.568512e-01	-5.443727e-01
7.300000e-07	-2.143714e-01	-5.769675e-01
7.400000e-07	2.306143e-01	-5.919580e-01
7.500000e-07	-1.526202e-01	-6.649260e-01
7.600000e-07	2.715975e-02	-6.673383e-01
7.700000e-07	5.250273e-02	-7.135064e-01
7.800000e-07	-1.844534e-01	-7.543905e-01
7.900000e-07	2.355186e-01	-7.447583e-01
8.000000e-07	-1.863039e-01	-8.240156e-01
8.100000e-07	1.499727e-01	-8.147170e-01
8.200000e-07	-1.275264e-02	-8.765585e-01
8.300000e-07	-9.517274e-02	-8.966596e-01
8.400000e-07	1.344360e-01	-9.171791e-01
8.500000e-07	-2.056506e-01	-9.713277e-01
8.600000e-07	2.182411e-01	-9.622864e-01
8.700000e-07	-1.617084e-01	-1.017769e+00
8.800000e-07	1.223190e-01	-1.023388e+00
8.900000e-07	-6.114422e-03	-1.064304e+00
9.000000e-07	-6.236810e-02	-1.091298e+00
9.100000e-07	6.937001e-02	-1.105503e+00
9.200000e-07	-1.258961e-01	-1.148339e+00
9.300000e-07	1.365335e-01	-1.158883e+00
9.400000e-07	-1.059958e-01	-1.202826e+00
9.500000e-07	1.183667e-01	-1.216757e+00
9.600000e-07	-6.834539e-02	-1.247441e+00
9.700000e-07	3.290322e-02	-1.263140e+00
9.800000e-07	-1.952402e-02	-1.293305e+00
9.900000e-07	-2.057332e-02	-1.312654e+00
1.000000e-06	2.490990e-02	-1.327302e+00
1.010000e-06	-3.110781e-02	-1.357684e+00
1.020000e-06	5.771519e-02	-1.369501e+00
1.030000e-06	-3.071899e-02	-1.400880e+00
1.040000e-06	3.899570e-02	-1.412519e+00
1.050000e-06	-4.039222e-02	-1.445143e+00
1.060000e-06	1.854721e-02	-1.459824e+00
1.070000e-06	-1.974172e-02	-1.471672e+00
1.080000e-06	1.604554e-02	-1.495624e+00
1.090000e-06	-1.146358e-03	-1.510459e+00
1.100000e-06	1.108217e-02	-1.534496e+00
1.110000e-06	1.350809e-03	-1.543286e+00
1.120000e-06	3.285525e-03	-1.562988e+00
1.130000e-06	-2.640588e-03	-1.574569e+00
1.140000e-06	-1.968036e-03	-1.591511e+00
1.150000e-06	2.938037e-03	-1.605192e+00
1.160000e-06	7.096984e-03	-1.616735e+00
1.170000e-06	4.066881e-03	-1.629509e+00
1.180000e-06	2.187221e-03	-1.640028e+00
1.190000e-06	1.956345e-03	-1.660679e+00
1.200000e-06	2.757228e-03	-1.666198e+00
1.210000e-06	2.067344e-03	-1.672724e+00
1.220000e-06	1.885843e-03	-1.680947e+00
1.230000e-06	5.844472e-03	-1.696521e+00
1.240000e-06	7.172586e-03	-1.702825e+00
1.250000e-06	8.632246e-03	-1.707298e+00
1.260000e-06	1.683864e-03	-1.711564e+00
1.270000e-06	3.984737e-03	-1.718780e+00
1.280000e-06	1.556155e-03	-1.725987e+00
1.290000e-06	1.032535e-02	-1.726166e+00
1.300000e-06	7.891129e-03	-1.735271e+00
1.310000e-06	1.171663e-02	-1.734689e+00
1.320000e-06	9.379025e-03	-1.742635e+00
1.330000e-06	1.136274e-02	-1.741040e+00
